TaxID	Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
28125	Prevotella bivia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bivia	-	Human	BSL-2	
28126	Segatella buccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella buccae	-	Human	BSL-2	Respiratory system
28127	Hoylesella buccalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella buccalis	-	Human	BSL-2	
28128	Prevotella corporis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella corporis	-	Human	BSL-2	
28129	Prevotella denticola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella denticola	-	Human	BSL-2	Digestive system;Respiratory system;Skin/Soft tissue
28130	Prevotella disiens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella disiens	-	Human	BSL-2	
28131	Prevotella intermedia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella intermedia	-	Human	BSL-2	Bone/Joint;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
28132	Prevotella melaninogenica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	-	Human	BSL-2	Respiratory system
28133	Prevotella nigrescens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens	-	Human	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Respiratory system
28134	Hoylesella oralis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella oralis	-	Human	BSL-2	
28135	Segatella oris	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oris	-	Human	BSL-2	Eye/Ear/Oral/Nasal
