Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Enterobacter asburiae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae	-	Birds;Human;Insect;Mammal;Plant;Primate;Rodent	BSL-1	Blood;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Serratia rubidaea	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia rubidaea	-	Human;Insect;Mammal;Plant	null	
Corynebacterium ulcerans	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans	+	Human;Mammal	BSL-2	Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Citrobacter farmeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter farmeri	-	Human	BSL-2	Blood;Digestive system;Skin/Soft tissue;Urinary system
Citrobacter sedlakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter sedlakii	-	Human;Mammal	BSL-2	Digestive system
Streptococcus infantis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis	+	Human;Primate	BSL-2	Digestive system
Enterobacter cancerogenus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cancerogenus	-	Human;Mammal;Plant	BSL-2	Blood;Respiratory system;Skin/Soft tissue
Staphylococcus condimenti	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus condimenti	+	Human	BSL-1	Skin/Soft tissue
Achromobacter piechaudii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter piechaudii	-	Human	BSL-2	
Achromobacter ruhlandii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii	-	Human;Mammal	BSL-2	Respiratory system
Pseudomonas monteilii	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas monteilii	-	Human;Mammal	BSL-1	Blood;Respiratory system;Urinary system
Streptococcus constellatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	+	Human	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Respiratory system
Streptococcus viridans	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus viridans	+	Human	BSL-2	
Serratia plymuthica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia plymuthica	-	Human;Plant	BSL-1	
Chlamydia psittaci	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	-	Birds;Human;Mammal;Reptile;Rodent;Vertebrate	BSL-2	Bone/Joint;Digestive system;Respiratory system
Chlamydia abortus	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia abortus	-	Birds;Human;Mammal	null	Respiratory system
Chlamydia pneumoniae	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae	-	Human	BSL-2	
Clostridium disporicum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium disporicum	+	Human	BSL-1	
Clostridium haemolyticum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium haemolyticum	+	Human	BSL-2	Bone/Joint
Gemella sanguinis	Bacteria	Bacillota	Bacilli	Bacillales	Gemellaceae	Gemella	Gemella sanguinis	+	Human	null	Respiratory system
Nocardia cerradoensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia cerradoensis	+	Human	BSL-1	
Sphingomonas koreensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis	-	Human	BSL-1	
Nocardia beijingensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia beijingensis	+	Human	BSL-2	
Burkholderia cenocepacia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia	-	Human;Plant	BSL-2	Blood;Eye/Ear/Oral/Nasal;Respiratory system
Proteus penneri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus penneri	-	Birds;Human;Mammal	BSL-2	
Actinomyces urogenitalis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	+	Human;Mammal	BSL-1	
Acinetobacter bereziniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	-	Birds;Human;Mammal;Reptile	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Acinetobacter guillouiae	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	-	Human;Reptile	BSL-2	Respiratory system
Acinetobacter nosocomialis	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	-	Human;Plant;Reptile	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue;Urinary system
Corynebacterium falsenii	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium falsenii	+	Birds;Human	BSL-2	
Acinetobacter ursingii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	-	Human;Plant	BSL-2	Blood;Eye/Ear/Oral/Nasal;Respiratory system;Skin/Soft tissue
Acinetobacter schindleri	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter schindleri	-	Birds;Human;Mammal	BSL-2	Blood
