Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Clostridium difficile	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridium difficile	+	Human;Environment;Mammal	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Clostridium spiroforme	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium spiroforme	+	Mammal	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Arcobacter butzleri	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter butzleri	-	Human;Food;Birds;Mammal	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Leminorella grimontii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leminorella	Leminorella grimontii	-	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Yersinia kristensenii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	Yersinia kristensenii	-	Human;Environment;Mammal	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Aeromonas enteropelogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas enteropelogenes	-	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Cronobacter condimenti	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter condimenti	-	Human;Environment;Food	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Cronobacter turicensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis	-	Human;Food	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Cronobacter universalis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter universalis	-	Human;Environment;Food	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Acinetobacter calcoaceticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus	-	Human;Environment;Insect	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Empedobacter brevis	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis	-	Environment	BSL-1	Blood;Respiratory system;Urinary system;Central nervous system;Digestive system;Bone/Joint;Reproductive system;Skin/Soft tissue
Enterobacter aerogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter aerogenes	-	Human;Mammal;Environment	BSL-2	Blood;Respiratory system;Urinary system;Central nervous system;Digestive system;Bone/Joint;Reproductive system;Skin/Soft tissue
Burkholderiales bacterium	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderiales bacterium	-	Environment;Plant	BSL-2	Respiratory system;Immune system;Eye/Ear/Oral/Nasal
Legionella anisa	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella anisa	-	Environment;Human	BSL-2	Respiratory system;Immune system;Eye/Ear/Oral/Nasal
Mycobacterium massiliense	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium numidiamassiliense	+	Environment	BSL-2	Respiratory system;Immune system;Skin/Soft tissue
Mycoplasma pneumoniae	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides pneumoniae	+	Human	BSL-2	Respiratory system
Staphylococcus capitis	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis	+	Human	BSL-1	Blood;Cardiovascular system
Actinomyces odontolyticus	Bacteria	Actinomycetota 	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus	+	Human	BSL-2	Digestive system
Corynebacterium ureicelerivorans	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium ureicelerivorans	+	Human	BSL-1	Urinary system
Kocuria rosea	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rosea	+	Environment£¬Mammal	BSL-1	Cardiovascular system£»Digestive system£»Skin/Soft tissue
Staphylococcus caledonicus	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus caledonicus	+	Reptile	BSL-1	Skin/Soft tissue;Respiratory system;Cardiovascular system;Blood
Staphylococcus caprae	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus caprae	+	Human;Mammal	BSL-2	Blood; Bone/Joint; Eye/Ear/Oral/Nasal; Urinary system
